Month,Product,Price
2005-07-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.541
2005-07-01T00:00:00Z,Utility (piped) gas per therm,1.168
2005-07-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.09
2005-08-01T00:00:00Z,"Bananas, per lb.",0.487
2005-08-01T00:00:00Z,"Oranges, Navel, per lb.",NA
2005-08-01T00:00:00Z,"Bread, white, pan, per lb.",1.06
2005-08-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.416
2005-08-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.042
2005-08-01T00:00:00Z,Electricity per KWH,0.105
2005-08-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.166
2005-08-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.506
2005-08-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.502
2005-08-01T00:00:00Z,Utility (piped) gas per therm,1.189
2005-08-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.136
2005-09-01T00:00:00Z,"Bananas, per lb.",0.485
2005-09-01T00:00:00Z,"Oranges, Navel, per lb.",1.363
2005-09-01T00:00:00Z,"Bread, white, pan, per lb.",1.052
2005-09-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.429
2005-09-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.056
2005-09-01T00:00:00Z,Electricity per KWH,0.106
2005-09-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.279
2005-09-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.927
2005-09-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.535
2005-09-01T00:00:00Z,Utility (piped) gas per therm,1.324
2005-09-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.133
2005-10-01T00:00:00Z,"Bananas, per lb.",0.491
2005-10-01T00:00:00Z,"Oranges, Navel, per lb.",1.388
2005-10-01T00:00:00Z,"Bread, white, pan, per lb.",1.043
2005-10-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.547
2005-10-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.062
2005-10-01T00:00:00Z,Electricity per KWH,0.102
2005-10-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.264
2005-10-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.785
2005-10-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.564
2005-10-01T00:00:00Z,Utility (piped) gas per therm,1.512
2005-10-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.171
2005-11-01T00:00:00Z,"Bananas, per lb.",0.48
2005-11-01T00:00:00Z,"Oranges, Navel, per lb.",1.172
2005-11-01T00:00:00Z,"Bread, white, pan, per lb.",1.055
2005-11-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.574
2005-11-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.059
2005-11-01T00:00:00Z,Electricity per KWH,0.102
2005-11-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.279
2005-11-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.343
2005-11-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.568
2005-11-01T00:00:00Z,Utility (piped) gas per therm,1.548
2005-11-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.211
2005-12-01T00:00:00Z,"Bananas, per lb.",0.482
2005-12-01T00:00:00Z,"Oranges, Navel, per lb.",0.885
2005-12-01T00:00:00Z,"Bread, white, pan, per lb.",1.046
2005-12-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.848
2005-12-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.061
2005-12-01T00:00:00Z,Electricity per KWH,0.102
2005-12-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.35
2005-12-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.186
2005-12-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.606
2005-12-01T00:00:00Z,Utility (piped) gas per therm,1.498
2005-12-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.241
2006-01-01T00:00:00Z,"Bananas, per lb.",0.49
2006-01-01T00:00:00Z,"Oranges, Navel, per lb.",0.837
2006-01-01T00:00:00Z,"Bread, white, pan, per lb.",1.046
2006-01-01T00:00:00Z,"Tomatoes, field grown, per lb.",2.162
2006-01-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.062
2006-01-01T00:00:00Z,Electricity per KWH,0.108
2006-01-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.449
2006-01-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.315
2006-01-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.607
2006-01-01T00:00:00Z,Utility (piped) gas per therm,1.531
2006-01-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.197
2006-02-01T00:00:00Z,"Bananas, per lb.",0.508
2006-02-01T00:00:00Z,"Oranges, Navel, per lb.",0.915
2006-02-01T00:00:00Z,"Bread, white, pan, per lb.",1.029
2006-02-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.91
2006-02-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.045
2006-02-01T00:00:00Z,Electricity per KWH,0.108
2006-02-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.328
2006-02-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.31
2006-02-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.556
2006-02-01T00:00:00Z,Utility (piped) gas per therm,1.402
2006-02-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.224
2006-03-01T00:00:00Z,"Bananas, per lb.",0.508
2006-03-01T00:00:00Z,"Oranges, Navel, per lb.",0.888
2006-03-01T00:00:00Z,"Bread, white, pan, per lb.",1.04
2006-03-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.649
2006-03-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.047
2006-03-01T00:00:00Z,Electricity per KWH,0.109
2006-03-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.302
2006-03-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.401
2006-03-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.568
2006-03-01T00:00:00Z,Utility (piped) gas per therm,1.335
2006-03-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.161
2006-04-01T00:00:00Z,"Bananas, per lb.",0.508
2006-04-01T00:00:00Z,"Oranges, Navel, per lb.",0.876
2006-04-01T00:00:00Z,"Bread, white, pan, per lb.",1.072
2006-04-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.573
2006-04-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.054
2006-04-01T00:00:00Z,Electricity per KWH,0.109
2006-04-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.283
2006-04-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.757
2006-04-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.599
2006-04-01T00:00:00Z,Utility (piped) gas per therm,1.278
2006-04-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.123
2006-05-01T00:00:00Z,"Bananas, per lb.",0.514
2006-05-01T00:00:00Z,"Oranges, Navel, per lb.",0.99
2006-05-01T00:00:00Z,"Bread, white, pan, per lb.",1.086
2006-05-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.543
2006-05-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.034
2006-05-01T00:00:00Z,Electricity per KWH,0.11
2006-05-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.206
2006-05-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.947
2006-05-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.508
2006-05-01T00:00:00Z,Utility (piped) gas per therm,1.263
2006-05-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.066
2006-06-01T00:00:00Z,"Bananas, per lb.",0.511
2006-06-01T00:00:00Z,"Oranges, Navel, per lb.",1.119
2006-06-01T00:00:00Z,"Bread, white, pan, per lb.",1.074
2006-06-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.457
2006-06-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.055
2006-06-01T00:00:00Z,Electricity per KWH,0.118
2006-06-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.242
2006-06-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.917
2006-06-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.543
2006-06-01T00:00:00Z,Utility (piped) gas per therm,1.21
2006-06-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.001
2006-07-01T00:00:00Z,"Bananas, per lb.",0.508
2006-07-01T00:00:00Z,"Oranges, Navel, per lb.",1.27
2006-07-01T00:00:00Z,"Bread, white, pan, per lb.",1.071
2006-07-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.479
2006-07-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.04
2006-07-01T00:00:00Z,Electricity per KWH,0.118
2006-07-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.213
2006-07-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.999
2006-07-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.459
2006-07-01T00:00:00Z,Utility (piped) gas per therm,1.213
2006-07-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.083
2006-08-01T00:00:00Z,"Bananas, per lb.",0.492
2006-08-01T00:00:00Z,"Oranges, Navel, per lb.",NA
2006-08-01T00:00:00Z,"Bread, white, pan, per lb.",1.088
2006-08-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.488
2006-08-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.048
2006-08-01T00:00:00Z,Electricity per KWH,0.118
2006-08-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.244
2006-08-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.985
2006-08-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.543
2006-08-01T00:00:00Z,Utility (piped) gas per therm,1.22
2006-08-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.019
2006-09-01T00:00:00Z,"Bananas, per lb.",0.479
2006-09-01T00:00:00Z,"Oranges, Navel, per lb.",1.483
2006-09-01T00:00:00Z,"Bread, white, pan, per lb.",1.083
2006-09-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.908
2006-09-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.063
2006-09-01T00:00:00Z,Electricity per KWH,0.118
2006-09-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.254
2006-09-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.589
2006-09-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.508
2006-09-01T00:00:00Z,Utility (piped) gas per therm,1.239
2006-09-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.049
2006-10-01T00:00:00Z,"Bananas, per lb.",0.489
2006-10-01T00:00:00Z,"Oranges, Navel, per lb.",1.423
2006-10-01T00:00:00Z,"Bread, white, pan, per lb.",1.097
2006-10-01T00:00:00Z,"Tomatoes, field grown, per lb.",2.188
2006-10-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.038
2006-10-01T00:00:00Z,Electricity per KWH,0.112
2006-10-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.257
2006-10-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.272
2006-10-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.542
2006-10-01T00:00:00Z,Utility (piped) gas per therm,1.148
2006-10-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.064
2006-11-01T00:00:00Z,"Bananas, per lb.",0.498
2006-11-01T00:00:00Z,"Oranges, Navel, per lb.",1.2
2006-11-01T00:00:00Z,"Bread, white, pan, per lb.",1.143
2006-11-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.784
2006-11-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.049
2006-11-01T00:00:00Z,Electricity per KWH,0.11
2006-11-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.354
2006-11-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.241
2006-11-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.564
2006-11-01T00:00:00Z,Utility (piped) gas per therm,1.252
2006-11-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",2.985
2006-12-01T00:00:00Z,"Bananas, per lb.",0.499
2006-12-01T00:00:00Z,"Oranges, Navel, per lb.",0.958
2006-12-01T00:00:00Z,"Bread, white, pan, per lb.",1.137
2006-12-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.639
2006-12-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.057
2006-12-01T00:00:00Z,Electricity per KWH,0.11
2006-12-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.543
2006-12-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.334
2006-12-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.606
2006-12-01T00:00:00Z,Utility (piped) gas per therm,1.285
2006-12-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.004
2007-01-01T00:00:00Z,"Bananas, per lb.",0.505
2007-01-01T00:00:00Z,"Oranges, Navel, per lb.",1.092
2007-01-01T00:00:00Z,"Bread, white, pan, per lb.",1.153
2007-01-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.621
2007-01-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.033
2007-01-01T00:00:00Z,Electricity per KWH,0.113
2007-01-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.549
2007-01-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.274
2007-01-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.63
2007-01-01T00:00:00Z,Utility (piped) gas per therm,1.265
2007-01-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.067
2007-02-01T00:00:00Z,"Bananas, per lb.",0.507
2007-02-01T00:00:00Z,"Oranges, Navel, per lb.",1.375
2007-02-01T00:00:00Z,"Bread, white, pan, per lb.",1.168
2007-02-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.644
2007-02-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.039
2007-02-01T00:00:00Z,Electricity per KWH,0.113
2007-02-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.746
2007-02-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.285
2007-02-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.639
2007-02-01T00:00:00Z,Utility (piped) gas per therm,1.267
2007-02-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.083
2007-03-01T00:00:00Z,"Bananas, per lb.",0.51
2007-03-01T00:00:00Z,"Oranges, Navel, per lb.",1.301
2007-03-01T00:00:00Z,"Bread, white, pan, per lb.",1.161
2007-03-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.555
2007-03-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.064
2007-03-01T00:00:00Z,Electricity per KWH,0.113
2007-03-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.634
2007-03-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.592
2007-03-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.628
2007-03-01T00:00:00Z,Utility (piped) gas per therm,1.291
2007-03-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.072
2007-04-01T00:00:00Z,"Bananas, per lb.",0.517
2007-04-01T00:00:00Z,"Oranges, Navel, per lb.",1.243
2007-04-01T00:00:00Z,"Bread, white, pan, per lb.",1.201
2007-04-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.63
2007-04-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.115
2007-04-01T00:00:00Z,Electricity per KWH,0.113
2007-04-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.616
2007-04-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.86
2007-04-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.676
2007-04-01T00:00:00Z,Utility (piped) gas per therm,1.284
2007-04-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.135
2007-05-01T00:00:00Z,"Bananas, per lb.",0.503
2007-05-01T00:00:00Z,"Oranges, Navel, per lb.",1.268
2007-05-01T00:00:00Z,"Bread, white, pan, per lb.",1.192
2007-05-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.685
2007-05-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.118
2007-05-01T00:00:00Z,Electricity per KWH,0.115
2007-05-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.504
2007-05-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",3.13
2007-05-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.766
2007-05-01T00:00:00Z,Utility (piped) gas per therm,1.288
2007-05-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.259
2007-06-01T00:00:00Z,"Bananas, per lb.",0.512
2007-06-01T00:00:00Z,"Oranges, Navel, per lb.",1.321
2007-06-01T00:00:00Z,"Bread, white, pan, per lb.",1.193
2007-06-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.51
2007-06-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.134
2007-06-01T00:00:00Z,Electricity per KWH,0.122
2007-06-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.373
2007-06-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",3.052
2007-06-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.739
2007-06-01T00:00:00Z,Utility (piped) gas per therm,1.299
2007-06-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.427
2007-07-01T00:00:00Z,"Bananas, per lb.",0.509
2007-07-01T00:00:00Z,"Oranges, Navel, per lb.",NA
2007-07-01T00:00:00Z,"Bread, white, pan, per lb.",1.209
2007-07-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.486
2007-07-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.13
2007-07-01T00:00:00Z,Electricity per KWH,0.122
2007-07-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.502
2007-07-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.961
2007-07-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.734
2007-07-01T00:00:00Z,Utility (piped) gas per therm,1.279
2007-07-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.736
2007-08-01T00:00:00Z,"Bananas, per lb.",0.506
2007-08-01T00:00:00Z,"Oranges, Navel, per lb.",1.5
2007-08-01T00:00:00Z,"Bread, white, pan, per lb.",1.21
2007-08-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.485
2007-08-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.145
2007-08-01T00:00:00Z,Electricity per KWH,0.121
2007-08-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.634
2007-08-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.782
2007-08-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.695
2007-08-01T00:00:00Z,Utility (piped) gas per therm,1.226
2007-08-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.807
2007-09-01T00:00:00Z,"Bananas, per lb.",0.505
2007-09-01T00:00:00Z,"Oranges, Navel, per lb.",1.503
2007-09-01T00:00:00Z,"Bread, white, pan, per lb.",1.212
2007-09-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.496
2007-09-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.142
2007-09-01T00:00:00Z,Electricity per KWH,0.121
2007-09-01T00:00:00Z,"Eggs, grade A, large, per doz.",1.825
2007-09-01T00:00:00Z,"Gasoline, unleaded regular, per gallon",2.789
2007-09-01T00:00:00Z,"Ground chuck, 100% beef, per lb.",2.744
2007-09-01T00:00:00Z,Utility (piped) gas per therm,1.207
2007-09-01T00:00:00Z,"Milk, fresh, whole, fortified, per gal.",3.841
2007-10-01T00:00:00Z,"Bananas, per lb.",0.508
2007-10-01T00:00:00Z,"Oranges, Navel, per lb.",1.542
2007-10-01T00:00:00Z,"Bread, white, pan, per lb.",1.274
2007-10-01T00:00:00Z,"Tomatoes, field grown, per lb.",1.649
2007-10-01T00:00:00Z,"Chicken, fresh, whole, per lb.",1.135
2007-10-01T00:00:00Z,Electricity per KWH,0.117
